"name","negative","positive"
Figaró-Montmany,4,18
Fogars de Montclús,1,1
Granollers,315,192
Gualba,12,3
La Garriga,78,42
La Llagosta,64,41
La Roca del Vallès,43,23
L'Ametlla del Vallès,34,16
Les Franqueses del Vallès,98,47
Lliçà d'Amunt,62,44
Lliçà de Vall,37,19
Llinars del Vallès,63,36
Martorelles,21,17
Mollet del Vallès,323,341
Montmeló,40,30
Montornès del Vallès,76,98
Montseny,3,0
Parets del Vallès,94,102
Sant Antoni de Vilamajor,36,26
Sant Celoni,111,44
Sant Esteve de Palautordera,17,9
Sant Feliu de Codines,18,13
Sant Fost de Campsentelles,59,37
Sant Pere de Vilamajor,26,9
Santa Eulàlia de Ronçana,17,17
Santa Maria de Martorelles,4,2
Santa Maria de Palautordera,33,23
Vallgorguina,19,5
Vallromanes,13,5
Vilalba Sasserra,5,26
Vilanova del Vallès,37,17
